ID,name,descr
1,Feature,Tasks related to new features or enhancements
2,Bug,Tasks related to fixing bugs or issues
3,Maintenance,Tasks related to system maintenance or updates
4,Research,Tasks related to research and investigation
5,Documentation,Tasks related to creating or updating documentation
6,Testing,Tasks related to testing and quality assurance
7,Deployment,Tasks related to deploying applications or updates
8,Support,Tasks related to providing support or assistance
9,Training,Tasks related to training and skill development
10,Planning,Tasks related to project planning and strategy